Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Match_9_Team_Short,Match_9_Points,Match_10_Team_Short,Match_10_Points,Match_11_Team_Short,Match_11_Points,Match_12_Team_Short,Match_12_Points,Match_13_Team_Short,Match_13_Points,Match_14_Team_Short,Match_14_Points,Match_15_Team_Short,Match_15_Points,Match_16_Team_Short,Match_16_Points,Match_17_Team_Short,Match_17_Points,Match_18_Team_Short,Match_18_Points,Match_19_Team_Short,Match_19_Points,Match_20_Team_Short,Match_20_Points,Match_21_Team_Short,Match_21_Points,Match_22_Team_Short,Match_22_Points,Match_23_Team_Short,Match_23_Points,Match_24_Team_Short,Match_24_Points,Total_Points
7,10,tushar07019,,SRH,0.0,CSK,0.0,KKR,1.0,SRH,0.0,RCB,1.0,MI,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,14.5
8,12,roarycat,RoaryCat,SRH,0.0,RR,2.0,RR,0.0,SRH,0.0,---,0.0,MI,0.0,MI,1.0,PBKS,1.0,GT,1.0,SRH,0.0,MI,0.0,DC,2.0,RR,2.0,SRH,0.0,MI,0.0,---,0.0,CSK,0.0,RR,0.0,RCB,0.0,CSK,0.0,LSG,1.5,SRH,1.5,RR,0.0,MI,2.0,14.0
9,13,hungry_wolf,HungrY_WolF,SRH,0.0,RR,2.0,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,SRH,0.0,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,13.5
9,13,roguehunter15,RogueHunter,SRH,0.0,RR,2.0,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,KKR,0.0,LSG,0.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,---,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,13.5
9,13,static_25,Static,DC,2.0,CSK,0.0,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,MI,1.0,PBKS,1.0,RCB,0.0,KKR,1.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,RCB,1.0,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,CSK,0.0,GT,0.0,SRH,1.5,RR,0.0,DC,0.0,13.5
10,16,astrobot_7,PS_USER,---,0.0,---,0.0,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,DC,2.0,RR,2.0,GT,2.0,MI,0.0,LSG,1.5,CSK,0.0,RR,0.0,DC,1.0,CSK,0.0,LSG,1.5,PBKS,0.0,RR,0.0,MI,2.0,13.0
11,17,gooffyluffyy,Luffy,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,GT,1.0,MI,1.0,LSG,0.0,GT,1.0,SRH,0.0,LSG,1.0,CSK,0.0,RR,2.0,GT,2.0,MI,0.0,KKR,0.0,CSK,0.0,RR,0.0,DC,1.0,CSK,0.0,LSG,1.5,PBKS,0.0,RR,0.0,MI,2.0,12.5
12,18,rishavmaiti,rishavmaiti,SRH,0.0,CSK,0.0,---,0.0,---,0.0,RCB,1.0,MI,0.0,MI,1.0,LSG,0.0,GT,1.0,---,0.0,---,0.0,---,0.0,RR,2.0,SRH,0.0,---,0.0,---,0.0,CSK,0.0,---,0.0,DC,1.0,CSK,0.0,LSG,1.5,SRH,1.5,---,0.0,MI,2.0,11.0
12,18,sriprakash,Sri Prakash,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,---,0.0,KKR,0.0,PBKS,1.0,---,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,---,0.0,LSG,1.5,PBKS,0.0,RR,0.0,DC,0.0,11.0
13,20,emptycases,J,---,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,MI,0.0,KKR,0.0,PBKS,1.0,GT,1.0,SRH,0.0,LSG,1.0,CSK,0.0,PBKS,0.0,SRH,0.0,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,KKR,1.0,GT,0.0,---,0.0,RCB,2.0,DC,0.0,10.5
13,20,fezvaz,Vaz,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,RCB,1.0,---,0.0,KKR,0.0,---,0.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,SRH,0.0,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,RCB,0.0,KKR,1.0,---,0.0,PBKS,0.0,RCB,2.0,DC,0.0,10.5
13,20,insane_dwane,Insane_Dwane,SRH,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,GT,1.0,KKR,0.0,LSG,0.0,RCB,0.0,SRH,0.0,MI,0.0,---,0.0,---,0.0,SRH,0.0,RCB,1.0,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,SRH,1.5,RCB,2.0,MI,2.0,10.5
13,20,reflekt_11,Reflekt,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,RR,2.0,GT,2.0,MI,0.0,KKR,0.0,PBKS,1.5,RR,0.0,DC,1.0,CSK,0.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,10.5
13,20,vahgar,Allen The Alien,SRH,0.0,RR,2.0,RR,0.0,SRH,0.0,CSK,0.0,MI,0.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,RR,2.0,SRH,0.0,RCB,1.0,KKR,0.0,PBKS,1.5,RR,0.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RR,0.0,---,0.0,10.5
14,25,gladiator30,Gladiator,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,RCB,1.0,MI,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,MI,0.0,LSG,1.5,CSK,0.0,GT,1.0,DC,1.0,CSK,0.0,LSG,1.5,PBKS,0.0,RCB,2.0,DC,0.0,10.0
14,25,max._.caulfield,Max,DC,2.0,RR,2.0,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,RCB,1.0,---,0.0,---,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RR,0.0,DC,0.0,10.0
15,27,the_mizer,DrVimp,SRH,0.0,CSK,0.0,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,MI,1.0,LSG,0.0,GT,1.0,KKR,1.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,RCB,1.0,KKR,0.0,PBKS,1.5,RR,0.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,9.5
16,28,darkwolf_newbie,Darkwolf,SRH,0.0,---,0.0,KKR,1.0,SRH,0.0,---,0.0,---,0.0,KKR,0.0,LSG,0.0,GT,1.0,SRH,0.0,LSG,1.0,DC,2.0,---,0.0,SRH,0.0,RCB,1.0,KKR,0.0,---,0.0,GT,1.0,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,8.0
16,28,elprofesor6338,Èl Profesor™,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,MI,0.0,KKR,0.0,PBKS,1.0,RCB,0.0,---,0.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,RCB,1.0,---,0.0,CSK,0.0,GT,1.0,RCB,0.0,CSK,0.0,GT,0.0,---,0.0,---,0.0,MI,2.0,8.0
17,30,dag_21,daggr,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,---,0.0,---,0.0,MI,1.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,DC,2.0,PBKS,0.0,SRH,0.0,---,0.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,7.5
18,31,csharp21,CSharp,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,MI,0.0,DC,2.0,RR,2.0,---,0.0,MI,0.0,---,0.0,---,0.0,---,0.0,DC,1.0,CSK,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,7.0
18,31,pkmkb6011,Sunny Paaji,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,GT,1.0,---,0.0,LSG,0.0,RCB,0.0,---,0.0,---,0.0,CSK,0.0,---,0.0,GT,2.0,RCB,1.0,KKR,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,7.0
19,33,apurv5411,APURV,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,---,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,6.5
19,33,iamthathit,IamthatHit,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,SRH,0.0,LSG,1.0,---,0.0,---,0.0,GT,2.0,---,0.0,---,0.0,PBKS,1.5,GT,1.0,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,6.5
20,35,ashmrth,Ashmrth,---,0.0,RR,2.0,RR,0.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,5.0
20,35,croco_boya,Croco,SRH,0.0,CSK,0.0,---,0.0,LSG,1.0,CSK,0.0,---,0.0,KKR,0.0,---,0.0,---,0.0,KKR,1.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,MI,0.0,KKR,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,5.0
21,37,fawaz4413,,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,---,0.0,GT,1.0,---,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,---,0.0,---,0.0,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,---,0.0,---,0.0,4.0
21,37,vader8726,vader,---,0.0,---,0.0,KKR,1.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,4.0
22,39,cdgamers14,cdgamers😎,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,KKR,1.0,LSG,1.0,---,0.0,---,0.0,---,0.0,---,0.0,KKR,0.0,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.5
23,40,1nv1nc1b1e18,Him.,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,GT,1.0,---,0.0,---,0.0,RCB,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
23,40,gane_sh,Gane_sh,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,MI,0.0,CSK,0.0,RR,2.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
23,40,nullpixel96,Nullpixel96,---,0.0,---,0.0,---,0.0,SRH,0.0,RCB,1.0,GT,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
24,43,jubilant_chipmunk_76062,,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.5,GT,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.5
24,43,lelouch1806,lelouch,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,SRH,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.5
25,45,asterayah,Zarathon,---,0.0,---,0.0,---,0.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.0
25,45,bigshikki,BigShik,---,0.0,RR,2.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.0
25,45,deadshot06.,,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,2.0,---,0.0,2.0
25,45,harish_datta_,Harish_datta_,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,MI,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RR,0.0,MI,2.0,2.0
25,45,jerry0_o,Jerry0_0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,2.0
25,45,kakashi019805,Kakashi,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,2.0
26,51,iamzeus,iAmZeus,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,KKR,0.0,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.5
27,52,_simplet0n,ZePHyR,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,aayush1965070,Aayush196,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,amangoyal,Aman,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,dudhwalaop69,DudhWalaOP,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,garageembark,DEFALT,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,itsdomtoretto,Dom,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,jayzus01,Jayan,---,0.0,---,0.0,KKR,1.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,light083969,Light,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,liv4sid,Sid,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,sayaks05,Cold_fart10,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,MI,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,shieldofachielles,shield of Achielles,---,0.0,CSK,0.0,---,0.0,---,0.0,CSK,0.0,GT,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,singh84,Singh,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
27,52,speedsterjk,SpeedsterJK,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
28,65,.agentvic,agentVic,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,DC,0.0,0.0
28,65,.selmonbhai,Tanjiro kamado,---,0.0,---,0.0,RR,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
28,65,aakashmangla,Babu Bhaiya,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
28,65,colac07,Colac,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
28,65,d3vilbring3r,d3vilbring3r,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
28,65,drunk6202,DRUNK GAMBLER 🍻,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
