Dense Rank,Standard Rank,Username,Display Name,Match_1_Margin_Short,Match_1_Points,Match_2_Margin_Short,Match_2_Points,Match_3_Margin_Short,Match_3_Points,Match_4_Margin_Short,Match_4_Points,Match_5_Margin_Short,Match_5_Points,Match_6_Margin_Short,Match_6_Points,Match_7_Margin_Short,Match_7_Points,Total_Points
4,27,cdgamers14,cdgamers😎,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,31-40R,0.0,---,0.0,0.0
4,27,crazybats_v,Casper,21-40R,0.0,2-3W,0.0,41-60R,0.0,41+R,0.0,61+R,0.0,11-20R,0.0,11-20R,0.0,0.0
4,27,dag_21,daggr,21-40R,0.0,---,0.0,---,0.0,21-30R,0.0,---,0.0,21-30R,0.0,11-20R,0.0,0.0
4,27,deadshot06.,,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,0.0
4,27,emptycases,J,21-40R,0.0,8-10W,0.0,41-60R,0.0,21-30R,0.0,---,0.0,21-30R,0.0,11-20R,0.0,0.0
4,27,gamerpradosh,Gamer Pradosh,---,0.0,6-7W,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,0.0
4,27,iamzeus,iAmZeus,21-40R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
4,27,jerry0_o,Jerry0_0,---,0.0,---,0.0,---,0.0,---,0.0,21-40R,0.0,---,0.0,---,0.0,0.0
4,27,joe_._mama,joe mama,---,0.0,---,0.0,---,0.0,41+R,0.0,---,0.0,---,0.0,---,0.0,0.0
4,27,lelouch1806,lelouch,21-40R,0.0,6-7W,0.0,11-20R,0.0,21-30R,0.0,21-40R,0.0,---,0.0,---,0.0,0.0
4,27,pkmkb6011,Victor,---,0.0,---,0.0,---,0.0,---,0.0,21-40R,0.0,---,0.0,---,0.0,0.0
4,27,reflekt_11,Reflekt,41-60R,0.0,6-7W,0.0,11-20R,0.0,21-30R,0.0,61+R,0.0,11-20R,0.0,1-10R,0.0,0.0
4,27,rithav,Arun Rithav,---,0.0,---,0.0,---,0.0,21-30R,0.0,---,0.0,---,0.0,---,0.0,0.0
4,27,shadow0403bsr,shadow43,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,0.0
4,27,shieldofachielles,shield of Achielles,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,0.0
4,27,thefarzi,Farzi,61+R,0.0,6-7W,0.0,41-60R,0.0,21-30R,0.0,61+R,0.0,11-20R,0.0,41-60R,0.0,0.0
4,27,weezyf.baby_,WEEZY F. Baby,1-10R,0.0,---,0.0,41-60R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
