Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Total_Points
slidemaster0547,Slide Master,SRH,0.0,CSK,0.0,---,0.0,LSG,1.0,RCB,1.0,MI,0.0,2.0
tushar07019,,SRH,0.0,CSK,0.0,KKR,1.0,SRH,0.0,RCB,1.0,MI,0.0,2.0
vahgar,Allen The Alien,SRH,0.0,RR,2.0,RR,0.0,SRH,0.0,CSK,0.0,MI,0.0,2.0
aayush1965070,Aayush196,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,1.0
amangoyal,Aman,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,1.0
croco_boya,Croco,SRH,0.0,CSK,0.0,---,0.0,LSG,1.0,CSK,0.0,---,0.0,1.0
darkwolf_newbie,Darkwolf,SRH,0.0,---,0.0,KKR,1.0,SRH,0.0,---,0.0,---,0.0,1.0
dudhwalaop69,DudhWalaOP,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,1.0
fawaz4413,,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,---,0.0,GT,1.0,1.0
fezvaz,Vaz,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,RCB,1.0,---,0.0,1.0
gladiator30,Gladiator,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,RCB,1.0,MI,0.0,1.0
gooffyluffyy,Luffy,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,GT,1.0,1.0
itsdomtoretto,Dom,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,1.0
jayzus01,Jayan,---,0.0,---,0.0,KKR,1.0,---,0.0,CSK,0.0,---,0.0,1.0
light083969,Light,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,---,0.0,1.0
rishavmaiti,rishavmaiti,SRH,0.0,CSK,0.0,---,0.0,---,0.0,RCB,1.0,MI,0.0,1.0
shieldofachielles,shield of Achielles,---,0.0,CSK,0.0,---,0.0,---,0.0,CSK,0.0,GT,1.0,1.0
singh84,Singh,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,1.0
the_mizer,DrVimp,SRH,0.0,CSK,0.0,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,1.0
.selmonbhai,Tanjiro kamado,---,0.0,---,0.0,RR,0.0,SRH,0.0,---,0.0,---,0.0,0.0
aakashmangla,Babu Bhaiya,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
astrobot_7,PS_USER,---,0.0,---,0.0,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,0.0
d3vilbring3r,d3vilbring3r,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
dag_21,daggr,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,---,0.0,---,0.0,0.0
elprofesor6338,Èl Profesor™,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,MI,0.0,0.0
emptycases,J,---,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,MI,0.0,0.0
gamerpradosh,Gamer Pradosh,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
jubilant_chipmunk_76062,,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
mrj619,MrJ619,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
nftprofessor,NFTProfessor,---,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,---,0.0,0.0
reflekt_11,Reflekt,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,0.0
riq9634,Riq,---,0.0,---,0.0,---,0.0,---,0.0,CSK,0.0,---,0.0,0.0
rithick_devaraj,rithick_devaraj,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,0.0
sauzz,Sauzz,---,0.0,---,0.0,---,0.0,SRH,0.0,---,0.0,---,0.0,0.0
sriprakash,Sri Prakash,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,---,0.0,0.0
